,time,prices
0,2016-01-01 00:00:00,30.86
1,2016-01-01 00:30:00,32.71
2,2016-01-01 01:00:00,35.56
3,2016-01-01 01:30:00,36.08
4,2016-01-01 02:00:00,36.22
5,2016-01-01 02:30:00,35.46
6,2016-01-01 03:00:00,33.04
7,2016-01-01 03:30:00,33.26
8,2016-01-01 04:00:00,32.45
9,2016-01-01 04:30:00,34.83
10,2016-01-01 05:00:00,33.08
11,2016-01-01 05:30:00,37.57
12,2016-01-01 06:00:00,34.02
13,2016-01-01 06:30:00,33.1
14,2016-01-01 07:00:00,31.11
15,2016-01-01 07:30:00,30.67
16,2016-01-01 08:00:00,25.15
17,2016-01-01 08:30:00,25.64
18,2016-01-01 09:00:00,27.55
19,2016-01-01 09:30:00,27.57
20,2016-01-01 10:00:00,28.46
21,2016-01-01 10:30:00,29.14
22,2016-01-01 11:00:00,35.85
23,2016-01-01 11:30:00,35.71
24,2016-01-01 12:00:00,38.75
25,2016-01-01 12:30:00,38.84
26,2016-01-01 13:00:00,39.74
27,2016-01-01 13:30:00,39.82
28,2016-01-01 14:00:00,38.74
29,2016-01-01 14:30:00,38.6
30,2016-01-01 15:00:00,43.8
31,2016-01-01 15:30:00,43.19
32,2016-01-01 16:00:00,44.32
33,2016-01-01 16:30:00,46.34
34,2016-01-01 17:00:00,50.3
35,2016-01-01 17:30:00,44.95
36,2016-01-01 18:00:00,41.7
37,2016-01-01 18:30:00,40.18
38,2016-01-01 19:00:00,32.37
39,2016-01-01 19:30:00,31.25
40,2016-01-01 20:00:00,30.86
41,2016-01-01 20:30:00,30.92
42,2016-01-01 21:00:00,31.61
43,2016-01-01 21:30:00,30.69
44,2016-01-01 22:00:00,30.51
45,2016-01-01 22:30:00,30.1
46,2016-01-01 23:00:00,29.84
47,2016-01-01 23:30:00,28.68
48,2016-01-02 00:00:00,28.9
49,2016-01-02 00:30:00,28.89
50,2016-01-02 01:00:00,28.03
51,2016-01-02 01:30:00,21.96
52,2016-01-02 02:00:00,21.51
53,2016-01-02 02:30:00,21.73
54,2016-01-02 03:00:00,20.27
55,2016-01-02 03:30:00,17.91
56,2016-01-02 04:00:00,17.26
57,2016-01-02 04:30:00,16.88
58,2016-01-02 05:00:00,21.9
59,2016-01-02 05:30:00,21.5
60,2016-01-02 06:00:00,20.55
61,2016-01-02 06:30:00,22.56
62,2016-01-02 07:00:00,28.23
63,2016-01-02 07:30:00,28.72
64,2016-01-02 08:00:00,30.15
65,2016-01-02 08:30:00,34.96
66,2016-01-02 09:00:00,35.01
67,2016-01-02 09:30:00,33.89
68,2016-01-02 10:00:00,34.17
69,2016-01-02 10:30:00,34.25
70,2016-01-02 11:00:00,35.84
71,2016-01-02 11:30:00,34.47
72,2016-01-02 12:00:00,35.42
73,2016-01-02 12:30:00,34.62
74,2016-01-02 13:00:00,33.72
75,2016-01-02 13:30:00,33.36
76,2016-01-02 14:00:00,33.03
77,2016-01-02 14:30:00,33.02
78,2016-01-02 15:00:00,39.36
79,2016-01-02 15:30:00,40.32
80,2016-01-02 16:00:00,41.75
81,2016-01-02 16:30:00,52.21
82,2016-01-02 17:00:00,56.79
